date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:28	1251/1251	------	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Sep%202024%2017:48:55%20GMT	https://app.brctokensync.com/robots.txt		(from )
18:49:28	47252/47252	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jun%202024%2003:13:24%20GMT	https://app.brctokensync.com/	./website_download/app.brctokensync.com/index.html	(from )
18:49:29	26053/26053	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:16%20GMT	https://app.brctokensync.com/assets/vendor/aos/aos.css	./website_download/app.brctokensync.com/assets/vendor/aos/aos.css	(from https://app.brctokensync.com/)
18:49:29	194922/194922	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:18%20GMT	https://app.brctokensync.com/assets/vendor/bootstrap/css/bootstrap.min.css	./website_download/app.brctokensync.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://app.brctokensync.com/)
18:49:29	95613/95613	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:20%20GMT	https://app.brctokensync.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	./website_download/app.brctokensync.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://app.brctokensync.com/)
18:49:29	68041/68041	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:20%20GMT	https://app.brctokensync.com/assets/vendor/boxicons/css/boxicons.min.css	./website_download/app.brctokensync.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://app.brctokensync.com/)
18:49:29	13749/13749	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:22%20GMT	https://app.brctokensync.com/assets/vendor/glightbox/css/glightbox.min.css	./website_download/app.brctokensync.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://app.brctokensync.com/)
18:49:29	110472/110472	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:24%20GMT	https://app.brctokensync.com/assets/vendor/remixicon/remixicon.css	./website_download/app.brctokensync.com/assets/vendor/remixicon/remixicon.css	(from https://app.brctokensync.com/)
18:49:30	16493/16493	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:26%20GMT	https://app.brctokensync.com/assets/vendor/swiper/swiper-bundle.min.css	./website_download/app.brctokensync.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://app.brctokensync.com/)
18:49:31	27992/27992	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2008:44:10%20GMT	https://app.brctokensync.com/assets/css/style.css	./website_download/app.brctokensync.com/assets/css/style.css	(from https://app.brctokensync.com/)
18:49:32	47252/47252	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2003:13:24%20GMT	https://app.brctokensync.com/index.html	./website_download/app.brctokensync.com/index-2.html	(from https://app.brctokensync.com/)
18:49:34	53984/53984	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2017:49:33%20GMT	https://app.brctokensync.com/wallet.php	./website_download/app.brctokensync.com/wallet.html	(from https://app.brctokensync.com/)
18:49:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Sep%202024%2017:49:35%20GMT	https://app.brctokensync.com/www.google.com/recaptcha/apiafda.js?render=6LfZZRIpAAAAAMiQTTT2Z3aPXyd0XSnMlMVMcz1h	./website_download/app.brctokensync.com/www.google.com/recaptcha/apiafda.aafda.delayed	(from https://app.brctokensync.com/)
18:49:36	121296/121296	---M--	200	added ('OK')	font/woff2	date:Thu,%2027%20Jun%202024%2008:44:20%20GMT	https://app.brctokensync.com/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsbf04.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	./website_download/app.brctokensync.com/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsbf04bf04.woff2	(from https://app.brctokensync.com/assets/vendor/bootstrap-icons/bootstrap-icons.css)
